x,y,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,STATION_NAME,TOTAL_SNOW_FLAG,LOCAL_MONTH,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,MIN_TEMPERATURE_FLAG,LOCAL_DATE,TOTAL_PRECIPITATION,SPEED_MAX_GUST,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_DAY,MEAN_TEMPERATURE_FLAG,ID,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,MEAN_TEMPERATURE,PROVINCE_CODE,TOTAL_RAIN,TOTAL_RAIN_FLAG,CLIMATE_IDENTIFIER,SNOW_ON_GROUND
-122.36,49.02527777777778,,0,ABBOTSFORD A,,6,,,,0.2,2012,,2012-06-21 00:00:00,0,0,23.3,0,,,,,21,,1100031.2012.6.21,0,,,,12.2,17.8,BC,0,,1100031,
-122.36,49.02527777777778,,0,ABBOTSFORD A,,6,,,,3.4,2012,,2012-06-22 00:00:00,13.4,32,18,0,,,,,22,,1100031.2012.6.22,13,,,,11.2,14.6,BC,13.4,,1100031,
-122.36,49.02527777777778,,0,ABBOTSFORD A,,6,,,,2.8,2012,,2012-06-23 00:00:00,23.8,61,19.5,0,,,,,23,,1100031.2012.6.23,13,,,,10.9,15.2,BC,23.8,,1100031,
-122.36,49.02527777777778,,0,ABBOTSFORD A,,6,,,,5.2,2012,,2012-06-24 00:00:00,0,0,18.2,0,,,,,24,,1100031.2012.6.24,0,,,,7.4,12.8,BC,0,,1100031,
-122.36,49.02527777777778,,0,ABBOTSFORD A,,6,,,,4,2012,,2012-06-25 00:00:00,0,33,20.5,0,,,,,25,,1100031.2012.6.25,13,,,,7.5,14,BC,0,,1100031,
-122.36,49.02527777777778,,0,ABBOTSFORD A,,6,,,,5.4,2012,,2012-06-26 00:00:00,0.8,37,14.6,0,,,,,26,,1100031.2012.6.26,13,,,,10.5,12.6,BC,0.8,,1100031,
-122.36,49.02527777777778,,0,ABBOTSFORD A,,6,,,,2.5,2012,,2012-06-27 00:00:00,0,0,21,0,,,,,27,,1100031.2012.6.27,0,,,,9.9,15.5,BC,0,,1100031,
-122.36,49.02527777777778,,0,ABBOTSFORD A,,6,,,,0.4,2012,,2012-06-28 00:00:00,1.6,0,23.6,0,,,,,28,,1100031.2012.6.28,0,,,,11.6,17.6,BC,1.6,,1100031,
-122.36,49.02527777777778,,0,ABBOTSFORD A,,6,,,,0,2012,,2012-06-29 00:00:00,1.4,0,22,0.2,,,,,29,,1100031.2012.6.29,0,,,,14.3,18.2,BC,1.4,,1100031,
-122.36,49.02527777777778,,0,ABBOTSFORD A,,6,,,,3.2,2012,,2012-06-30 00:00:00,17.6,0,23.6,0,,,,,30,,1100031.2012.6.30,0,,,,5.9,14.8,BC,17.6,,1100031,
-122.36,49.02527777777778,,0,ABBOTSFORD A,,7,,,,2.6,2012,,2012-07-01 00:00:00,0.4,33,18.2,0,,,,,1,,1100031.2012.7.1,13,,,,12.6,15.4,BC,0.4,,1100031,
